headword,pos,definition,clarifier,example_runyankore,example_english,section
ekitema-bakazi,adj,an object whose cutting edge is blunt,blunt,,,E
ekitembe,n,a wild short banana plant with short leaves that bears a small bunch with very small clusters; it is not edible,,,,E
ekiteme,n,a cleared piece of land,,,,E
ekitendeere,n,a large short necked gourd or calabash used for storing local brew,,,,E
ekitenga,n,a large woven basket especially for keeping millet before being taken to the grannery,,,,E
ekitengo,n,fever shivering as a sign of getting malaria fever or as a result of very cold temperature,,,,E
ekitengye,n,"an African piece of cloth with different designs and colours tied by women around their waists, especially in doing their household work",,,,E
ekitensani,n,a place or building where a specified activity or service is based,station,,,E
ekitenteberera,n,an African bird with a medium tail,,,,E
ekitentegyere,n,a tree that looks like a bar tree with large leaves,,,,E
ekitentere,n,a young grasshopper,,,,E
ekiteta,n,someone with speech impairment and cannot speak,dumb person,,,E
ekiti,n,a piece of wood,,,,E
ekitigi,n,a stubborn or big headed person,,,,E
ekitigu,n,"a large glandular organ in the abdomen of vertebrates that secretes bile and acts in the formation of blood and in the metabolism of carbohydrates, fats, proteins minerals and vitamins",liver,,,E
ekitiiho,n,"a digging tool with a long handle and a flat iron blade usd for cutting or loading earth, sand, etc",spade,,,E
ekitiinisa,n,differencial or high regard and esteem for an individual,honour,,,E
ekitiinwa,n,"glory, respect, high fame and honour or great achievement",,,,E
ekitima,n,the innermost part of a seed or plant,plant core,John yaarya omuyembe yaasigaho ekitima kyagwo.,John has eaten a mango and left its seed here.,E
ekitimbure,n,a situation where two or more people who share something in common influence one another,,,,E
ekitindiriro,n,millet drying rack,,Oburo baabwanika omu kitindiriro.,They have dried millet on the rack.,E
ekitingwa,n,This girl gives in to sex quickly,sexually loose,Ogu mwishiki n'ekitingwa.,This girl gives in to sex quickly.,E
ekitingwa,n,a person who engages in a sexual act with another person of the same sex,sodomite,,,E
ekitiribiita,n,thick porridge of millet or sorghum flour. It is normally taken when cold,,,,E
ekitiribiita,n,unfermented cold porridge which is not concentrated,,,,E
ekitobotobo,n,a plant with poisonous yellow fruits.,,,,E
ekitoga,n,something young or imature.,,Eki kitookye n'ekitoga.,This sugarcane is imature.,E
ekitogi,n,collar: part of the garment that fits around the neck.,collar,Esaati yangye ekuzire ekitogi.,My shirt's collar is torne.,E
ekitoijo,n,an offering to God.,,Ekitoijo kyangye n'enkoko.,My offering is a hen.,E
ekitojo,n,thistle: a plant with thorny leaves. Acanthus Species.,thistle,Embuzi nizikunda kurya ekitojo.,Goats like eating Acanthus Species.,E
ekitokoozi,n,a speck in the eye.,,Nyamba onyihe ekitokoozi omu riisho.,Help me I have a foreign body in the eye.,E
ekitomi,n,fist: a hand when it is tightly closed with the fingers bent into the palm.,fist,,,E
ekitondagira,n,blood cake of a cow warmed with butter or meat.,,Nshangire nibarya ekitondagira ekibaguzire aha ibaagiro.,,E
ekitondoro,n,a bird's crop: a sac in the upper part of the digesitive system of a bird.,a bird's crop,,,E
ekitongaanwa,n,fruit: an oval shaped fruit.,fruit,Nyina akaba ahingire ebitongaanwa bingi.,His mother had grown many oval shaped fruit.,E
ekitongo,n,"blood clot, or meat chunks.",,,,E
ekitongore,n,a government department: a section of a large organisation such as government bod.,,Naakora omu kitongore ky'esente.,He works in a finance department.,E
ekitongye,n,a lump of food: A piece of smooth solid food of any size or shape ready for eating.,a lump of food,Joshua yaabega ekitongye kihango omu sohaani.,Joshua has picked a very large lump of food from the plate.,E
ekitongyerero,n,chorus: part of the song that is repeated at the end of each verse.,chorus,,,E
ekitoogo,n,papyrus swamp: a forest of papyrus reeds that form a swamp.,papyrus swamp,,,E
ekitoogoogo,n,a soft local drink made from millet flour and water.,,,,E
ekitookwa,n,sprout: a new part that grows on a parent plant.,sprout,,,E
ekitookye,n,a buch of banana: curved fruit with a thick yellow skin that grows in tropical countries.,a buch of banana,,,E
ekitooma,n,,,,,E
ekitooma,n,ficus tree.,,,,E
ekitoosha,n,mushroom: a non flowering plant with a cup-shapped top and white in colour.,mushroom,,,E
ekitore,,in a lumpsome: things given at the same time.,in a lumpsome,,,E
ekitori,n,one of the pieces that make a bar of washing soap.,,,,E
ekitoro,n,something especailly cattle that has been confiscated in accordance with legal judgement.,,,,E
ekitoroogo,n,an animal especially a domestic one that has been born prematurely.,,,,E
ekitoroogo,n,a term used to refer to a person who is considered to be older than his age.,,How old are you? I am 18. Oh' you are realy young!,(said to someone who looks older than his age).,E
ekitotera,n,,,,,E
ekitotoima,n,a certain plant plant specie.,,,,E
ekitsibo,n,a tethering rope used to tie goats or cows.,,,,E
ekitsigye,n,eye blows.,,,,E
ekitsimbarara,n,door frame: a strong border of wood that make a door.,door frame,,,E
ekitsinde,n,,,,,E
ekitsingiso,n,,,,,E
ekitsintsi,n,a tree stump: what remains of the stem when the tree is cut.,a tree stump,,,E
ekitsintsino,n,heel: the back part of the foot below the ankle.,heel,,,E
ekitsya mujumbi,n,sunshine that follows morning rain.,,,,E
ekitsyararo,n,bumper: a period when there is an unusually large amount of harvest.,bumper,,,E
ekitu,n,guest room: a room attached to the main house for visitors.,guest room,,,E
ekituga,n,"a bribe: sum of money or something one offers to persuade somebody to act in one's favour, typically illegally or dishonestly.",a bribe,,,E
ekitugu,n,liver: large and complicated reddish-brown glandular organ located in the upper right portion of the abdominal cavity; secretes bile and functions in metabolism of protein and carbohydrate and fat; synthesizes substances involved in the clotting of the blood; synthesizes vitamin A: detoxifies poisonous substances and breaks down worn-out red blood cells.,liver,,,E
ekituho,n,stench: a horrid and offensive smell coming out of a decaying substance.,stench,,,E
ekitukuru,n,a type of basket with holes in the sides that is commonly used in harvesting of grains.,,,,E
ekitumba,n,a banana stem: the stem of a banana tree that is left after harvesting a banana.,a banana stem,,,E
ekitumbaara,n,,,,,E
ekitumbe,n,a swollen part on the skin that is full of colurless liquid caused by burning or friction.,,,,E
ekitumbisa,n,baking powder: yeast or mixture of sodium bicarbonate and cream of tartar used in baking.,baking powder,,,E
ekitumbwe,n,unripe fruit.,,Akarya ekitumbwe ky'omupeera yaariibwa omunda.,He ate an unripe guava and he got stomach pain.,E
ekituna,n,,,,,E
ekitunda,n,"wild passion fruit: that juicy fruit that is eaten, normally grows up in the bush and changes colour from green to yellow when ripe.",wild passion fruit,,,E
ekitunda,n,"weed: a toxic plant that is considered useless, and grows freely where it is not wanted, and it bears round thorny fruits. Datura Stramonium.",weed,,,E
ekitundama-nibakoza,n,"idiot: a person of subnormal intelligence who is stupid, foolish and dull.",idiot,,,E
ekitundami,n,,,,,E
ekitungwa,n,,,,,E
ekituntumuki,n,a wanderer: someone who moves from place to place with no specific reason.,a wanderer,,,E
ekituri,n,a penetrating hole in an object.,,,,E
ekiturirwa,n,porridge: a lump of unmixed porridge flour.,porridge,Akaba naanywa obushera yaashangamu ebiturirwa yabucwera.,,E
ekituru,n,idiot: someone who behaves in an extremly stupid way.,idiot,,,E
ekituru,n,comedian: a half witted person who makes people laugh.,comedian,,,E
ekituru,n,imbecile: an insulting word for someone who behaves in a stupid way.,imbecile,,,E
ekituruguma,n,"vegetables which which grow in lowlands, they have hairs and are sleeperly when cooked.",,,,E
ekitutu,n,a heap of millet: millet that is heaped together immediately after harvest.,,,,E
ekitutu,n,a portion of hair tied together especially natural hair.,,,,E
ekituuriizi,n,a dull person who is slow in understanding.,,,,E
ekituuro,n,a tomb or grave: a place in the ground where dead people are burried.,a tomb or grave,,,E
ekituuru,n,,,,,E
ekituuti,n,a platform: a raised structure for people to stand on.,a platform,,,E
ekituuti,n,a pulpit: a place where a priest stands to preach to people in church.,a pulpit,,,E
ekituuti,n,a mound: a large pile of soil or stones or sand.,a mound,,,E
ekituzi,n,mushroom: a large size mushroom.,mushroom,,,E
ekitwaro,n,a big storage basket.,,,,E
ekityokori,n,a small bird with a slightly longer tail and with hairly feathers abit raised on the head. it is usually found in bushy banana plantations where there are high chances of getting sweet bananas and other ripe fruits.,,,,E
ekiviiko,n,an improvised cover especially for the calabash.,,,,E
ekivugye,n,this is a mixture of water and half grown dry millet flour. This mixture is meant to make porridge taste sweet.,,,,E
ekivune,n,meat on the leg between the hip and the knee of an animal or bird.,,,,E
ekivurugye,n,"sauce that is made from a mixture of many things like greens, beans, peas, etc.",,,,E
ekiyanga,n,valley: an area of low land between hills often filled with a swamp.,valley,,,E
ekiyangwe,n,stirling bird: a small noisy bird with dark shiny feathers.,stirling bird,,,E
ekiyanja,n,a pond: a small area filled with still water that is often seasonal.,,,,E
ekiyengo,n,a small measuring basket.,,,,E
ekiyenje,n,"cockroach: a beatle-like insect with long antenae and legs, feeding by scavenging.",cockroach,,,E
ekiyongoyongo,n,,,,,E
ekiyooro,adj,abundance: quantity that is more than enough.,abundance,,,E
ekiyoyo,n,cormorant: a large sea bird which has dark feathers.,cormorant,,,E
ekiyungu,n,kitchen: a place where food is prepared from.,kitchen,,,E
ekizaagiriro,n,a place where cattle rest from.,,,,E
ekizaaniro,n,an outdoor ground where playing outdoor games takes place.,playground,,,E
ekizaarwa,n,a child born out of wedlock.,illegitimate child,Tindi kizaarwa kandi tindi kitokoozi.,I am not a son or daugher of the clan.,E
ekiziba,n,a valley dam or pond.,,,,E
ekizibaho,n,a piece of cloth warn over the clothes.,,,,E
ekizibiti,n,a thing that is displayed in courts of laws to prove the guilt or innocence of the suspect.,exhibit,,,E
ekizigira,n,a mark that is left on the skin after the wound has healed.,scar,,,E
ekiziizi,n,a facial appearance on someone that suggests that you despise others.,,,,E
ekizima,n,a situation where there is no light especially at night.,darkness,,,E
ekizinga,n,a piece of land that is surrounded by water.,island,,,E
ekizinga,n,a circular white or coloured light that surrounds the moon or the sun.,halo,,,E
ekizino,n,dance series of movements that match the speed and rythm of music.,dance,,,E
ekizoora,n,moon that appears as a whole bright disc.,full moon,,,E
ekizorokoma,n,a wild banana tree or its fruit.,wild banana plant,,,E
ekookoro,n,a serious medical condition caused by abnormal growth of cells in the body which may cause death.,cancer,,,E
ekoomi,n,the place where fire for providing warmth to cattle/animals is lit. It is always a strategic place in the kraal which can be accessed by almost all cows.,fire place,,,E
ekoona,n,a sharp bend.,corner,,,E
ekufuru,n,,,,,E
ekufuru,n,"a metal object used to lock doors, gates and suitcases.",padlock,Mureete ekufuru tusibe enju tugyende.,"Bring the padlock, we want to lock the house and go.",E
ekumbwe,n,fragments of the grass carpet when they have been layed in a place especially in the kitchen after they have become too old or worn out.,,,,E
ekyaka,n,,,,,E
ekyanyima,n,,,,,E
ekyara,n,a thick hard layer covering the outer tip of the fingers or toes.,a toe or finger nail,,,E
ekyasha,n,a hundred years.,century,,,E
ekyasha,n,a gap between teeth left after removing a tooth or in any cutting edge.,,,,E
ekyasha,n,"a white patch on the forehead of a cow, goat or sheep different from the rest.",,,,E
ekyashuri,n,a structure that birds build for laying in eggs.,a bird's nest,,,E
ekyasire,n,,,,,E
ekyata,n,"pain where one feels like something is burning in his chest, caused by excessive acid in the stomach juices.",heartburn,,,E
ekyata,n,a person who shows lack of thought or judgement.,rascal,,,E
ekyata-muzinga,n,honey-eating animal.,,,,E
ekyayaaya,n,a banana variety which is eaten while roasted.,,,,E
ekyebumbe,n,a king who comes to power without people's support.,a self appointed king,,,E
ekyebumbe,n,a person who takes a job or position that belongs to someone else without the right to do so.,usurper,,,E
ekyefeera,n,an animal that has died of natural causes.,,,,E
ekyefubiko,n,a piece of cloth worn on the upper part of the body to keep it warm.,jumper,,,E
ekyegamiro,n,the back part of the sofa where one leans upon sitting.,a back of a sofa seat,,,E
ekyegyengye,n,a person whose behaviour and conduct makes everybody fear him or her.,a frightening person,,,E
ekyegyeso,n,something that is intended to be learnt and is explained to the listeners.,a lesson,,,E
ekyehimbagirizo,n,a stick that one carries for support when walking.,a walking stick,,,E
ekyehuubo,n,a seat hanging from chains or ropes that swings backwards and forwards.,,,,E
ekyejwiso,n,unusual severe bleeding from the uterus through the vagina.,haemorrhage,,,E
ekyekango,n,the bad feeling that one gets when in danger or something bad has happened or something frightens you.,a feeling of fear,,,E
