date,region,district,market_name,commodity,unit,price_type,price_ugx,price_usd
2025-03-15,Gulu,Gulu Municipality,Gulu,Beans,KG,Retail,3844.0,1.05
2025-03-15,Gulu,Gulu Municipality,Gulu,Cassava flour,KG,Retail,4031.0,1.1
2025-03-15,Jinja,Jinja Municipality,Jinja,Beans,KG,Retail,5072.0,1.38
2025-03-15,Jinja,Jinja Municipality,Jinja,Cassava flour,KG,Retail,1522.0,0.42
2025-03-15,Mbarara,Mbarara Municipality,Mbarara,Beans,KG,Retail,5072.0,1.38
2025-03-15,Mbarara,Mbarara Municipality,Mbarara,Cassava flour,KG,Retail,2240.0,0.61
2025-03-15,Kampala,Central Kampala,Owino,Beans,KG,Retail,4565.0,1.25
2025-03-15,Kampala,Central Kampala,Owino,Cassava flour,KG,Retail,2029.0,0.55
2025-04-15,Arua,Arua Municipality,Arua,Beans,KG,Retail,3538.0,0.96
2025-04-15,Arua,Arua Municipality,Arua,Cassava flour,KG,Retail,1307.0,0.36
2025-04-15,Busia,Samia-bugwe,Busia,Beans,KG,Retail,3267.0,0.89
2025-04-15,Busia,Samia-bugwe,Busia,Cassava flour,KG,Retail,1000.0,0.27
2025-04-15,Kabarole,Fort Portal Municipality,Fort Portal,Beans,KG,Retail,5625.0,1.53
2025-04-15,Kabarole,Fort Portal Municipality,Fort Portal,Cassava flour,KG,Retail,2000.0,0.55
2025-04-15,Gulu,Gulu Municipality,Gulu,Beans,KG,Retail,5625.0,1.53
2025-04-15,Gulu,Gulu Municipality,Gulu,Cassava flour,KG,Retail,5250.0,1.43
2025-04-15,Jinja,Jinja Municipality,Jinja,Beans,KG,Retail,5229.0,1.43
2025-04-15,Jinja,Jinja Municipality,Jinja,Cassava flour,KG,Retail,1569.0,0.43
2025-04-15,Mbarara,Mbarara Municipality,Mbarara,Beans,KG,Retail,5229.0,1.43
2025-04-15,Mbarara,Mbarara Municipality,Mbarara,Cassava flour,KG,Retail,2309.0,0.63
2025-04-15,Kampala,Central Kampala,Owino,Beans,KG,Retail,4707.0,1.28
2025-04-15,Kampala,Central Kampala,Owino,Cassava flour,KG,Retail,2092.0,0.57
2025-05-15,Arua,Arua Municipality,Arua,Beans,KG,Retail,3800.0,1.04
2025-05-15,Arua,Arua Municipality,Arua,Cassava flour,KG,Retail,1000.0,0.27
2025-05-15,Busia,Samia-bugwe,Busia,Beans,KG,Retail,3800.0,1.04
2025-05-15,Busia,Samia-bugwe,Busia,Cassava flour,KG,Retail,875.0,0.24
2025-05-15,Kabarole,Fort Portal Municipality,Fort Portal,Beans,KG,Retail,6000.0,1.64
2025-05-15,Kabarole,Fort Portal Municipality,Fort Portal,Cassava flour,KG,Retail,2000.0,0.55
2025-05-15,Gulu,Gulu Municipality,Gulu,Beans,KG,Retail,5667.0,1.55
2025-05-15,Gulu,Gulu Municipality,Gulu,Cassava flour,KG,Retail,6000.0,1.64
2025-05-15,Jinja,Jinja Municipality,Jinja,Beans,KG,Retail,4100.0,1.12
2025-05-15,Jinja,Jinja Municipality,Jinja,Cassava flour,KG,Retail,1600.0,0.44
2025-05-15,Mbarara,Mbarara Municipality,Mbarara,Beans,KG,Retail,5125.0,1.4
2025-05-15,Mbarara,Mbarara Municipality,Mbarara,Cassava flour,KG,Retail,2000.0,0.55
2025-06-15,Arua,Arua Municipality,Arua,Beans,KG,Retail,3800.0,1.05
2025-06-15,Arua,Arua Municipality,Arua,Cassava flour,KG,Retail,1000.0,0.28
2025-06-15,Busia,Samia-bugwe,Busia,Beans,KG,Retail,3050.0,0.85
2025-06-15,Busia,Samia-bugwe,Busia,Cassava flour,KG,Retail,950.0,0.26
